X,country,snu1,ageasentered,2018,2019,2020,2021,2022,2023
999999,Eswatini,Dvokodvweni,10 to 14,0,0,529,141,1232,1227
999999,Eswatini,Dvokodvweni,15 to 19,0,0,273,41,785,1889
999999,Eswatini,Dvokodvweni,20 to 24,0,0,95,172,2981,647
999999,Eswatini,Dvokodvweni,25 to 29,0,0,112,113,2713,346
999999,Eswatini,Ekukhanyeni,10 to 14,0,0,0,359,607,273
999999,Eswatini,Ekukhanyeni,15 to 19,0,0,0,98,808,400
999999,Eswatini,Ekukhanyeni,20 to 24,0,0,0,130,624,328
999999,Eswatini,Ekukhanyeni,25 to 29,0,0,0,81,507,210
999999,Eswatini,Gilgali Inkhundla,10 to 14,0,0,83,63,598,362
999999,Eswatini,Gilgali Inkhundla,15 to 19,0,0,85,42,745,400
999999,Eswatini,Gilgali Inkhundla,20 to 24,0,0,17,63,722,267
999999,Eswatini,Gilgali Inkhundla,25 to 29,0,0,10,37,435,228
999999,Eswatini,Hosea,10 to 14,0,0,252,158,339,259
999999,Eswatini,Hosea,15 to 19,0,0,460,237,441,634
999999,Eswatini,Hosea,20 to 24,0,0,37,199,199,302
999999,Eswatini,Hosea,25 to 29,0,0,171,115,106,175
999999,Eswatini,Kumethula Inkhundla,10 to 14,0,0,0,51,455,162
999999,Eswatini,Kumethula Inkhundla,15 to 19,0,0,0,109,719,220
999999,Eswatini,Kumethula Inkhundla,20 to 24,0,0,0,52,457,232
999999,Eswatini,Kumethula Inkhundla,25 to 29,0,0,0,35,250,130
999999,Eswatini,Kwaluseni,10 to 14,0,0,162,53,622,207
999999,Eswatini,Kwaluseni,15 to 19,0,0,98,13,441,562
999999,Eswatini,Kwaluseni,20 to 24,0,0,147,158,1493,587
999999,Eswatini,Kwaluseni,25 to 29,0,0,139,196,1317,521
999999,Eswatini,Lobamba,10 to 14,0,0,366,152,478,468
999999,Eswatini,Lobamba,15 to 19,0,0,107,67,596,1192
999999,Eswatini,Lobamba,20 to 24,0,0,67,460,2220,988
999999,Eswatini,Lobamba,25 to 29,0,0,87,412,1853,416
999999,Eswatini,Lobamba Lomdzala,10 to 14,0,0,392,202,1147,685
999999,Eswatini,Lobamba Lomdzala,15 to 19,0,0,192,40,553,865
999999,Eswatini,Lobamba Lomdzala,20 to 24,0,0,167,241,932,507
999999,Eswatini,Lobamba Lomdzala,25 to 29,0,0,114,241,933,399
999999,Eswatini,Lomahasha,10 to 14,0,0,529,174,1120,604
999999,Eswatini,Lomahasha,15 to 19,0,0,324,49,530,1402
999999,Eswatini,Lomahasha,20 to 24,0,0,177,391,1227,377
999999,Eswatini,Lomahasha,25 to 29,0,0,162,518,1209,297
999999,Eswatini,Ludzeludze,10 to 14,0,0,239,160,563,205
999999,Eswatini,Ludzeludze,15 to 19,0,0,222,53,498,755
999999,Eswatini,Ludzeludze,20 to 24,0,0,202,192,1050,288
999999,Eswatini,Ludzeludze,25 to 29,0,0,222,207,951,180
999999,Eswatini,Lugongolweni,10 to 14,0,0,0,0,1026,633
999999,Eswatini,Lugongolweni,15 to 19,0,0,0,0,487,598
999999,Eswatini,Lugongolweni,20 to 24,0,0,0,0,304,425
999999,Eswatini,Lugongolweni,25 to 29,0,0,0,0,199,222
999999,Eswatini,Madlangampisi,10 to 14,0,0,0,0,481,241
999999,Eswatini,Madlangampisi,15 to 19,0,0,0,36,260,272
999999,Eswatini,Madlangampisi,20 to 24,0,0,0,147,553,99
999999,Eswatini,Madlangampisi,25 to 29,0,0,0,125,438,134
999999,Eswatini,Mafutseni,10 to 14,0,0,0,194,1082,489
999999,Eswatini,Mafutseni,15 to 19,0,0,0,83,1090,492
999999,Eswatini,Mafutseni,20 to 24,0,0,0,119,581,315
999999,Eswatini,Mafutseni,25 to 29,0,0,0,62,438,185
999999,Eswatini,Manzini North,10 to 14,0,0,284,117,360,202
999999,Eswatini,Manzini North,15 to 19,0,0,291,50,291,576
999999,Eswatini,Manzini North,20 to 24,0,0,213,277,1039,270
999999,Eswatini,Manzini North,25 to 29,0,0,155,347,978,202
999999,Eswatini,Manzini South,10 to 14,0,0,104,23,382,168
999999,Eswatini,Manzini South,15 to 19,0,0,83,27,371,842
999999,Eswatini,Manzini South,20 to 24,0,0,23,79,1130,513
999999,Eswatini,Manzini South,25 to 29,0,0,16,55,705,223
999999,Eswatini,Maseyisini,10 to 14,0,0,434,173,482,657
999999,Eswatini,Maseyisini,15 to 19,0,0,579,414,776,517
